description,category,type
Rs. 1000 Uber ride to office,Transport,Expense
Pizza and coke for Rs. 850,Food,Expense
Monthly rent of Rs. 25000,Rent,Expense
Rs. 1500 for a Netflix subscription,Entertainment,Expense
Grocery shopping at Cargills for Rs. 5000,Food,Expense
Electricity bill for Rs. 3500,Bills,Expense
Bus ticket for Rs. 150,Transport,Expense
Amazon shopping for Rs. 7000,Shopping,Expense
Movie ticket for Rs. 900,Entertainment,Expense
Water bill for Rs. 800,Bills,Expense
Bought KFC chicken for Rs. 2000,Food,Expense
Train to work for Rs. 100,Transport,Expense
Paid internet bill of Rs. 2500,Bills,Expense
New shoes from Nike for Rs. 12000,Shopping,Expense
Dinner at McDonald's for Rs. 1800,Food,Expense
Received salary of Rs. 85000,Salary,Income
Freelance payment of Rs. 30000,Freelance,Income
Sold old bike for Rs. 5000,Sale,Income
Dividend received Rs. 2000,Investment,Income
Refund from Amazon for Rs. 1500,Refund,Income
Rs. 1200 for a trip to the beach,Entertainment,Expense
Bought new phone for Rs. 45000,Shopping,Expense
Rs. 3000 paid for phone bill,Bills,Expense
Dinner with friends for Rs. 5000,Food,Expense
Rs. 2000 for a taxi ride,Transport,Expense
School fees for Rs. 10000,Bills,Expense
Rs. 800 paid for movie streaming,Entertainment,Expense
Bought books for Rs. 4000,Shopping,Expense
Rs. 150 for a short bus ride,Transport,Expense
Paid gas bill of Rs. 1800,Bills,Expense
Birthday gift for Rs. 5000,Shopping,Expense
Rs. 2500 for a fancy dinner,Food,Expense
Fuel for car for Rs. 7000,Transport,Expense
Monthly rent of Rs. 30000,Rent,Expense
Rs. 2000 paid for gym membership,Entertainment,Expense
Grocery shopping at Keells for Rs. 6500,Food,Expense
Water bill of Rs. 950,Bills,Expense
Train fare for Rs. 250,Transport,Expense
Bought a new laptop for Rs. 75000,Shopping,Expense
Rs. 1500 for cinema tickets,Entertainment,Expense
Rs. 4000 paid for an electricity bill,Bills,Expense
Lunch at work for Rs. 600,Food,Expense
Tuk-tuk ride to work for Rs. 500,Transport,Expense
Paid internet bill of Rs. 2800,Bills,Expense
Shopping for clothes for Rs. 10000,Shopping,Expense
Rs. 2000 for a concert ticket,Entertainment,Expense
Rs. 5000 paid for household bills,Bills,Expense
Rs. 1500 for a coffee machine,Shopping,Expense
Dinner for two for Rs. 3500,Food,Expense
Bus fare for Rs. 200,Transport,Expense
Rs. 1800 for a birthday party,Entertainment,Expense
Bought groceries for Rs. 4500,Food,Expense
Rs. 2500 paid for a water bill,Bills,Expense
